# Testing 192 configurations 
# Reading [30] trace.out files from [../experiment-results/Jun-27-0/trace]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# -> Parrot_l1_fdtd-2d.latency_trace.out
# -> Parrot_l1_gemm.latency_trace.out
# -> Parrot_l1_gesummv.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# -> Parrot_l1_durbin.latency_trace.out
# -> Parrot_l1_gramschmidt.latency_trace.out
# -> Parrot_l1_atax.latency_trace.out
# -> Parrot_l1_syrk.latency_trace.out
# -> Parrot_l1_ludcmp.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
2mm 0.988785 0.898388 87157085 0.65 100000 3 75 1500 5 2 4
jacobi-2d 0.97136 0.858292 78386134 0.65 100000 3 75 1500 5 2 4
mvt 0.343195 7.54806 5126331 0.65 100000 3 75 1500 5 2 4
floyd-warshall 0.941064 3.2191 85965970 0.65 100000 3 75 1500 5 2 4
trisolv 0 0 1287122 0.65 100000 3 75 1500 5 2 4
deriche 0.485976 14.2387 51182600 0.65 100000 3 75 1500 5 2 4
symm 0.955232 1.2981 59294230 0.65 100000 3 75 1500 5 2 4
syr2k 0.958564 0.889939 56690118 0.65 100000 3 75 1500 5 2 4
nussinov 0.992476 24.6025 83270494 0.65 100000 3 75 1500 5 2 4
heat-3d 0.987982 14.4058 42643976 0.65 100000 3 75 1500 5 2 4
doitgen 0.991121 0.470448 70561207 0.65 100000 3 75 1500 5 2 4
covariance 0.97509 0.478471 60377640 0.65 100000 3 75 1500 5 2 4
trmm 0.979512 0.11597 59497116 0.65 100000 3 75 1500 5 2 4
lu 0 0 47301701 0.65 100000 3 75 1500 5 2 4
bicg 0.306408 2.31965 4644663 0.65 100000 3 75 1500 5 2 4
3mm 0.986836 0.577755 75773658 0.65 100000 3 75 1500 5 2 4
cholesky 0.983906 1.11879 46103988 0.65 100000 3 75 1500 5 2 4
seidel-2d 0.878831 4.2529 48683869 0.65 100000 3 75 1500 5 2 4
jacobi-1d 0.598361 0.83307 1276022 0.65 100000 3 75 1500 5 2 4
gemver 0.399631 10.0007 9133553 0.65 100000 3 75 1500 5 2 4
fdtd-2d 0.881607 32.2371 58681856 0.65 100000 3 75 1500 5 2 4
gemm 0.993319 51.7683 76712138 0.65 100000 3 75 1500 5 2 4
gesummv 0 0 1819780 0.65 100000 3 75 1500 5 2 4
correlation 0.979016 17.1811 62546919 0.65 100000 3 75 1500 5 2 4
