# Testing 192 configurations 
# Reading [30] trace.out files from [../experiment-results/Jun-27-4/trace]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# -> Parrot_l1_fdtd-2d.latency_trace.out
# -> Parrot_l1_gemm.latency_trace.out
# -> Parrot_l1_gesummv.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# -> Parrot_l1_durbin.latency_trace.out
# -> Parrot_l1_gramschmidt.latency_trace.out
# -> Parrot_l1_atax.latency_trace.out
# -> Parrot_l1_syrk.latency_trace.out
# -> Parrot_l1_ludcmp.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
2mm 0.987556 0.86494 88193717 0.65 100000 3 75 1500 5 2 4
jacobi-2d 0.988771 51.8067 76499819 0.65 100000 3 75 1500 5 2 4
mvt 0.454971 4.97631 5126331 0.65 100000 3 75 1500 5 2 4
floyd-warshall 0.975068 55.3234 84690387 0.65 100000 3 75 1500 5 2 4
trisolv 0 0 1287122 0.65 100000 3 75 1500 5 2 4
deriche 0.467102 14.6254 51182600 0.65 100000 3 75 1500 5 2 4
symm 0.956041 0.59693 60385951 0.65 100000 3 75 1500 5 2 4
syr2k 0.954948 0.800287 55036423 0.65 100000 3 75 1500 5 2 4
nussinov 0 0 81677315 0.65 100000 3 75 1500 5 2 4
heat-3d 0.98797 14.8311 42600435 0.65 100000 3 75 1500 5 2 4
doitgen 0.98927 0.752729 69154477 0.65 100000 3 75 1500 5 2 4
covariance 0.975373 0.518777 61071052 0.65 100000 3 75 1500 5 2 4
trmm 0.977036 0.110734 58438520 0.65 100000 3 75 1500 5 2 4
lu 0 0 46110513 0.65 100000 3 75 1500 5 2 4
bicg 0.889658 5.31235 4644663 0.65 100000 3 75 1500 5 2 4
3mm 0.981743 1.60861 74847920 0.65 100000 3 75 1500 5 2 4
cholesky 0.97417 0.581828 47193041 0.65 100000 3 75 1500 5 2 4
seidel-2d 0.729064 0.197259 47981727 0.65 100000 3 75 1500 5 2 4
jacobi-1d 0.598361 1.11443 1276022 0.65 100000 3 75 1500 5 2 4
gemver 0.67603 3.60435 9133553 0.65 100000 3 75 1500 5 2 4
fdtd-2d 0.937214 32.081 58333186 0.65 100000 3 75 1500 5 2 4
gemm 0.982599 1.38732 77120922 0.65 100000 3 75 1500 5 2 4
gesummv 0.262548 1.43782 1819780 0.65 100000 3 75 1500 5 2 4
correlation 0.978876 16.7648 62132172 0.65 100000 3 75 1500 5 2 4
