# Testing 192 configurations 
# Reading [30] trace.out files from [../experiment-results/Jun-27-2/trace]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# -> Parrot_l1_fdtd-2d.latency_trace.out
# -> Parrot_l1_gemm.latency_trace.out
# -> Parrot_l1_gesummv.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# -> Parrot_l1_durbin.latency_trace.out
# -> Parrot_l1_gramschmidt.latency_trace.out
# -> Parrot_l1_atax.latency_trace.out
# -> Parrot_l1_syrk.latency_trace.out
# -> Parrot_l1_ludcmp.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
2mm 0.98867 0.511748 86273866 0.65 100000 3 75 1500 5 2 4
jacobi-2d 0.972381 0.84359 76450458 0.65 100000 3 75 1500 5 2 4
mvt 0.371578 7.87882 5126331 0.65 100000 3 75 1500 5 2 4
floyd-warshall 0.993727 64.3132 81696089 0.65 100000 3 75 1500 5 2 4
trisolv 0 0 1287122 0.65 100000 3 75 1500 5 2 4
deriche 0.476773 12.0246 51182600 0.65 100000 3 75 1500 5 2 4
symm 0.991393 27.3774 59546591 0.65 100000 3 75 1500 5 2 4
syr2k 0.957458 0.88083 55216066 0.65 100000 3 75 1500 5 2 4
nussinov 0.992517 26.1286 83725303 0.65 100000 3 75 1500 5 2 4
heat-3d 0.985022 12.7154 41828008 0.65 100000 3 75 1500 5 2 4
doitgen 0.989491 0.479627 70605983 0.65 100000 3 75 1500 5 2 4
covariance 0.975862 0.506046 62307494 0.65 100000 3 75 1500 5 2 4
trmm 0.979225 0.10318 58676126 0.65 100000 3 75 1500 5 2 4
lu 0 0 47034694 0.65 100000 3 75 1500 5 2 4
bicg 0.737548 0.983502 4644663 0.65 100000 3 75 1500 5 2 4
3mm 0.985029 0.424406 74744302 0.65 100000 3 75 1500 5 2 4
cholesky 0.938936 0.305772 45755520 0.65 100000 3 75 1500 5 2 4
seidel-2d 0.898363 5.78051 48255299 0.65 100000 3 75 1500 5 2 4
jacobi-1d 0.598361 0.857423 1276022 0.65 100000 3 75 1500 5 2 4
gemver 0.742543 5.00499 9133553 0.65 100000 3 75 1500 5 2 4
fdtd-2d 0.879474 30.3814 57643401 0.65 100000 3 75 1500 5 2 4
gemm 0.982853 0.659346 78262883 0.65 100000 3 75 1500 5 2 4
gesummv 0.330139 1.14398 1819780 0.65 100000 3 75 1500 5 2 4
correlation 0.978651 16.9805 61479159 0.65 100000 3 75 1500 5 2 4
adi 0 0 55716799 0.65 100000 3 75 1500 5 2 4
durbin 0.763272 12.4418 2646502 0.65 100000 3 75 1500 5 2 4
gramschmidt 0.964947 0.216743 60237954 0.65 100000 3 75 1500 5 2 4
atax 0.73817 0.246738 5125471 0.65 100000 3 75 1500 5 2 4
syrk 0.979551 27.0021 59611645 0.65 100000 3 75 1500 5 2 4
ludcmp 0.986209 36.9582 53802011 0.65 100000 3 75 1500 5 2 4
2mm 0.978649 0.586548 86273866 0.65 100000 3 100 2000 10 2.5 8
jacobi-2d 0.973107 0.843739 76450458 0.65 100000 3 100 2000 10 2.5 8
mvt 0 0 5126331 0.65 100000 3 100 2000 10 2.5 8
floyd-warshall 0.932604 2.96627 81696089 0.65 100000 3 100 2000 10 2.5 8
trisolv 0 0 1287122 0.65 100000 3 100 2000 10 2.5 8
deriche 0.470472 14.3005 51182600 0.65 100000 3 100 2000 10 2.5 8
symm 0.961845 1.46391 59546591 0.65 100000 3 100 2000 10 2.5 8
syr2k 0.953709 0.816562 55216066 0.65 100000 3 100 2000 10 2.5 8
nussinov 0 0 83725303 0.65 100000 3 100 2000 10 2.5 8
heat-3d 0.971024 14.7897 41828008 0.65 100000 3 100 2000 10 2.5 8
doitgen 0.979888 0.0827261 70605983 0.65 100000 3 100 2000 10 2.5 8
covariance 0.949765 0.520415 62307494 0.65 100000 3 100 2000 10 2.5 8
trmm 0.979344 0.103027 58676126 0.65 100000 3 100 2000 10 2.5 8
lu 0 0 47034694 0.65 100000 3 100 2000 10 2.5 8
bicg 0 0 4644663 0.65 100000 3 100 2000 10 2.5 8
3mm 0.973831 0.286499 74744302 0.65 100000 3 100 2000 10 2.5 8
cholesky 0.940772 0.216778 45755520 0.65 100000 3 100 2000 10 2.5 8
seidel-2d 0.94384 6.09127 48255299 0.65 100000 3 100 2000 10 2.5 8
jacobi-1d 0 0 1276022 0.65 100000 3 100 2000 10 2.5 8
gemver 0 0 9133553 0.65 100000 3 100 2000 10 2.5 8
fdtd-2d 0 0 57643401 0.65 100000 3 100 2000 10 2.5 8
gemm 0.981856 0.7605 78262883 0.65 100000 3 100 2000 10 2.5 8
gesummv 0 0 1819780 0.65 100000 3 100 2000 10 2.5 8
correlation 0.801884 2.91182 61479159 0.65 100000 3 100 2000 10 2.5 8
adi 0 0 55716799 0.65 100000 3 100 2000 10 2.5 8
durbin 0 0 2646502 0.65 100000 3 100 2000 10 2.5 8
gramschmidt 0.965869 0.227664 60237954 0.65 100000 3 100 2000 10 2.5 8
atax 0 0 5125471 0.65 100000 3 100 2000 10 2.5 8
syrk 0.979668 26.6888 59611645 0.65 100000 3 100 2000 10 2.5 8
ludcmp 0.977473 37.2995 53802011 0.65 100000 3 100 2000 10 2.5 8
2mm 0.988305 0.612058 86273866 0.65 100000 3 100 1500 10 2 4
jacobi-2d 0.972106 0.848465 76450458 0.65 100000 3 100 1500 10 2 4
mvt 0.452337 5.99535 5126331 0.65 100000 3 100 1500 10 2 4
floyd-warshall 0.90218 2.96609 81696089 0.65 100000 3 100 1500 10 2 4
trisolv 0 0 1287122 0.65 100000 3 100 1500 10 2 4
deriche 0.459775 15.7757 51182600 0.65 100000 3 100 1500 10 2 4
symm 0.966959 0.315967 59546591 0.65 100000 3 100 1500 10 2 4
syr2k 0.952324 0.724803 55216066 0.65 100000 3 100 1500 10 2 4
nussinov 0 0 83725303 0.65 100000 3 100 1500 10 2 4
heat-3d 0.949017 13.545 41828008 0.65 100000 3 100 1500 10 2 4
doitgen 0.95533 0.908125 70605983 0.65 100000 3 100 1500 10 2 4
covariance 0.957228 0.244055 62307494 0.65 100000 3 100 1500 10 2 4
trmm 0.980145 0.105711 58676126 0.65 100000 3 100 1500 10 2 4
lu 0 0 47034694 0.65 100000 3 100 1500 10 2 4
bicg 0.576396 1.01387 4644663 0.65 100000 3 100 1500 10 2 4
3mm 0.985751 0.445419 74744302 0.65 100000 3 100 1500 10 2 4
cholesky 0.984669 2.64129 45755520 0.65 100000 3 100 1500 10 2 4
seidel-2d 0 0 48255299 0.65 100000 3 100 1500 10 2 4
jacobi-1d 0 0 1276022 0.65 100000 3 100 1500 10 2 4
gemver 0.113975 9.56932 9133553 0.65 100000 3 100 1500 10 2 4
fdtd-2d 0.936072 30.2435 57643401 0.65 100000 3 100 1500 10 2 4
gemm 0.98107 0.975485 78262883 0.65 100000 3 100 1500 10 2 4
gesummv 0 0 1819780 0.65 100000 3 100 1500 10 2 4
correlation 0.960279 42.803 61479159 0.65 100000 3 100 1500 10 2 4
adi 0 0 55716799 0.65 100000 3 100 1500 10 2 4
durbin 0.256566 5.95793 2646502 0.65 100000 3 100 1500 10 2 4
gramschmidt 0.964599 0.181294 60237954 0.65 100000 3 100 1500 10 2 4
atax 0.679639 0.384844 5125471 0.65 100000 3 100 1500 10 2 4
syrk 0.980457 26.2587 59611645 0.65 100000 3 100 1500 10 2 4
ludcmp 0.960364 29.3179 53802011 0.65 100000 3 100 1500 10 2 4
2mm 0.865313 0.796319 86273866 0.65 100000 3 75 2000 20 2 10
jacobi-2d 0.971746 0.842456 76450458 0.65 100000 3 75 2000 20 2 10
mvt 0 0 5126331 0.65 100000 3 75 2000 20 2 10
floyd-warshall 0.931918 2.96188 81696089 0.65 100000 3 75 2000 20 2 10
trisolv 0 0 1287122 0.65 100000 3 75 2000 20 2 10
deriche 0 0 51182600 0.65 100000 3 75 2000 20 2 10
symm 0.804859 0.454819 59546591 0.65 100000 3 75 2000 20 2 10
syr2k 0.842618 0.781124 55216066 0.65 100000 3 75 2000 20 2 10
nussinov 0 0 83725303 0.65 100000 3 75 2000 20 2 10
heat-3d 0.90963 0.948557 41828008 0.65 100000 3 75 2000 20 2 10
doitgen 0.956944 0.875567 70605983 0.65 100000 3 75 2000 20 2 10
covariance 0.949348 0.518899 62307494 0.65 100000 3 75 2000 20 2 10
trmm 0.98006 0.102361 58676126 0.65 100000 3 75 2000 20 2 10
lu 0 0 47034694 0.65 100000 3 75 2000 20 2 10
bicg 0 0 4644663 0.65 100000 3 75 2000 20 2 10
3mm 0.676738 0.133277 74744302 0.65 100000 3 75 2000 20 2 10
cholesky 0.917387 0.339144 45755520 0.65 100000 3 75 2000 20 2 10
seidel-2d 0 0 48255299 0.65 100000 3 75 2000 20 2 10
jacobi-1d 0 0 1276022 0.65 100000 3 75 2000 20 2 10
gemver 0 0 9133553 0.65 100000 3 75 2000 20 2 10
fdtd-2d 0 0 57643401 0.65 100000 3 75 2000 20 2 10
gemm 0 0 78262883 0.65 100000 3 75 2000 20 2 10
gesummv 0 0 1819780 0.65 100000 3 75 2000 20 2 10
correlation 0 0 61479159 0.65 100000 3 75 2000 20 2 10
adi 0 0 55716799 0.65 100000 3 75 2000 20 2 10
durbin 0 0 2646502 0.65 100000 3 75 2000 20 2 10
gramschmidt 0.964142 0.199303 60237954 0.65 100000 3 75 2000 20 2 10
atax 0 0 5125471 0.65 100000 3 75 2000 20 2 10
syrk 0.163922 3.58405 59611645 0.65 100000 3 75 2000 20 2 10
ludcmp 0 0 53802011 0.65 100000 3 75 2000 20 2 10
2mm 0.98827 0.536337 86273866 0.65 100000 3 75 2000 10 2 4
jacobi-2d 0.971746 0.842456 76450458 0.65 100000 3 75 2000 10 2 4
mvt 0.262631 7.62885 5126331 0.65 100000 3 75 2000 10 2 4
floyd-warshall 0.977698 50.1495 81696089 0.65 100000 3 75 2000 10 2 4
trisolv 0 0 1287122 0.65 100000 3 75 2000 10 2 4
deriche 0.481492 12.2226 51182600 0.65 100000 3 75 2000 10 2 4
symm 0.974944 8.20899 59546591 0.65 100000 3 75 2000 10 2 4
syr2k 0.954904 0.873831 55216066 0.65 100000 3 75 2000 10 2 4
nussinov 0 0 83725303 0.65 100000 3 75 2000 10 2 4
heat-3d 0.960409 13.5032 41828008 0.65 100000 3 75 2000 10 2 4
doitgen 0.974195 0.207313 70605983 0.65 100000 3 75 2000 10 2 4
covariance 0.957148 0.246806 62307494 0.65 100000 3 75 2000 10 2 4
trmm 0.98006 0.102361 58676126 0.65 100000 3 75 2000 10 2 4
